held_out_block,n_test,n_positive_test,accuracy,f1,roc_auc,pr_auc
872a100d0ffffff,4,2,1.0,1.0,1.0,1.0
872a100d2ffffff,49,45,0.8979591836734694,0.945054945054945,0.75,0.9738141755477421
872a100d3ffffff,28,18,0.8214285714285714,0.8717948717948718,0.9,0.9398916750890436
872a100d6ffffff,13,12,0.9230769230769231,0.96,1.0,1.0
872a100deffffff,1,0,1.0,0.0,,
872a10720ffffff,1,0,1.0,0.0,,
872a10721ffffff,31,12,0.967741935483871,0.96,1.0,1.0
872a10725ffffff,24,13,0.7083333333333334,0.6956521739130435,0.8951048951048952,0.8966460889537811
872a10728ffffff,22,13,0.8181818181818182,0.8666666666666667,0.7948717948717949,0.7691990701606086
872a1072cffffff,49,36,0.7346938775510204,0.8354430379746836,0.5587606837606838,0.7308173507017202
872a1072dffffff,36,16,0.7777777777777778,0.75,0.8375,0.780912819223746
872a1072effffff,4,0,1.0,0.0,,
